Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),"Train Time (Epoch, s)",Eval Time (s)
Financial News,MLP (Avg Learned Emb),0.6492434662998624,0.4222768548180155,0.396128911570591,0.45216049382716045,0.6050244704089893,0.5664765945565989,0.6492434662998624,0.286,0.028
Financial News,RNN (Learned Emb),0.5955983493810179,0.2549994706606712,0.4206568446899938,0.3358297022512709,0.44851928043298567,0.5408133022259037,0.5955983493810179,0.286,0.029
Financial News,LSTM (Learned Emb),0.6698762035763411,0.4513453100163942,0.42252388134741076,0.4904684095860567,0.6340013506244102,0.6068651309852054,0.6698762035763411,0.272,0.03
Financial News,BiLSTM (Learned Emb),0.734525447042641,0.6599852493778157,0.6834365293738446,0.6436571779709035,0.727058595221369,0.7248595401740338,0.734525447042641,0.301,0.036
Financial News,CNN (Learned Emb),0.7386519944979367,0.6706744517293495,0.7063524598735866,0.6491676442656834,0.7288318515927148,0.731484644914329,0.7386519944979367,0.343,0.096
Financial News,MLP (Avg GloVe Emb),0.687757909215956,0.5735230010324653,0.6003185987509757,0.5590868826162945,0.6742485355261636,0.6691387704595897,0.687757909215956,0.2,0.035
Financial News,CNN (GloVe Emb),0.7675378266850069,0.707327108054284,0.7509606043573359,0.6870820265428108,0.7552819165237479,0.7658818293708451,0.7675378266850069,0.236,0.03
Financial News,LSTM (GloVe Emb),0.6203576341127923,0.3893904073512003,0.36865187945120415,0.41612200435729846,0.5693389460398683,0.5288121195299783,0.6203576341127923,0.239,0.028
Financial News,BiLSTM (GloVe Emb),0.7290233837689133,0.6042284382284383,0.6518834479360796,0.583909418468242,0.7111383691961409,0.709617923764018,0.7290233837689133,0.281,0.032
Financial News,CNN-LSTM (GloVe Emb),0.7180192572214581,0.6059271786355453,0.6498756094692152,0.5849902639118325,0.7024640700181362,0.7008544455277593,0.7180192572214581,0.299,0.03
